# COLHEITA — McDonald's Brasil, cardápio publicado em mcdonalds.com.br
#
# Colhido em 21 de setembro de 2026, das páginas de produto do próprio
# site. Cada linha é o que a rede publica na aba "Informação nutricional"
# daquele produto.
#
# ⚠️ OS VALORES SÃO POR PORÇÃO, E NÃO POR 100 g. O McDonald's Brasil
# publica "Por Porção" e NÃO publica o peso da porção — restaurante é
# isento da RDC 429, que obriga isso em alimento embalado. É por causa
# disto que o Alimento ganhou `porUnidade`: sem o peso, não há como
# converter para a base de 100 g que a TACO usa.
#
# ⚠️ E É COLHEITA MANUAL DE PROPÓSITO. O site responde 403 a qualquer
# cliente que não seja um navegador de verdade, então o gerador não busca
# sozinho como o da TACO e o da FNDDS fazem. Para atualizar, abra o site
# num navegador e rode o colhedor descrito em scripts/gerar-fastfood-br.mjs.
#
# colunas: slug, nome, categoria, proteína g, kcal, carboidrato g,
#          gordura g, fibra g, sódio mg, alérgenos declarados
#
mcfritas-grande	McFritas Grande	acompanhamentos	6.9	422	50	22	5.8	375.22	Soja
mcfritas-media	McFritas Média	acompanhamentos	4.8	295	35	15	4.1	262.14	Soja
batata-p	Batata P	acompanhamentos	2	171	25	7	2	173.6	Soja
chicken-mcnuggets-4-unidades	Chicken McNuggets 4 unidades	acompanhamentos	9	155	10	8.6	0.77	300.16	Leite+Soja+Glúten
chicken-mcnuggets-6-unidades	Chicken McNuggets 6 unidades	acompanhamentos	14	232	16	13	1.2	450.24	Leite+Soja+Glúten
chicken-mcnuggets-10-unidades	Chicken McNuggets 10 unidades	acompanhamentos	24	387	26	21	1.9	750.4	Leite+Soja+Glúten
chicken-mcnuggets-15-unidades	Chicken McNuggets 15 unidades	acompanhamentos	34	581	39	32	2.9	1125.6	Leite+Soja+Glúten
tomatinho	Tomatinho	acompanhamentos	0.54	11	1.6	0.27	0.86	7.72
pao-de-queijo	Pão de Queijo	cafe-da-manha	3.2	145	19	6.9	0.86	269.55	Leite+Soja+Ovo+Glúten
mini-pao-de-queijo	Mini Pão de Queijo	cafe-da-manha	6.5	227	24	11	0.63	447.08	Leite+Soja+Ovo+Amendoim
pao-de-queijo-recheado	Pão de queijo recheado com molho com queijo tipo cheddar	cafe-da-manha	4.5	189	21	9.5	0.8	489.7	Leite+Soja+Ovo+Glúten
queijo-quente	Queijo Quente	cafe-da-manha	12	314	41	11	1.7	718.65	Leite+Soja+Ovo+Glúten
pao-tipo-brioche-na-chapa	Pão tipo Brioche na Chapa	cafe-da-manha	7.3	280.5	38.6	10.8	2.6	362.3	Leite+Soja+Ovo+Glúten
egg-burger	Egg Burger	cafe-da-manha	22	414	41	18	1.8	635.49	Leite+Soja+Ovo+Glúten
egg-cheese-bacon	Egg Cheese Bacon	cafe-da-manha	20	383	41	16	1.7	941.79	Leite+Soja+Ovo+Glúten
duplo-egg-cheese-bacon	Duplo Egg Cheese Bacon	cafe-da-manha	25	443	42	20	1.7	1014.64	Leite+Soja+Ovo+Glúten
cookies-de-baunilha	Cookies de baunilha	mccafe	2.2	205	30	8.6	1.7	102.6	Leite+Soja+Ovo+Glúten
cookies-de-chocolate	Cookies de chocolate	mccafe	2.6	199	28	8.5	2.2	109.35	Leite+Soja+Ovo+Glúten
panini-com-queijo-e-bacon	Panini com queijo e bacon	mccafe	7.8	220	21	12	0.6	580.41	Leite+Soja+Ovo+Glúten
folhado-com-queijo-e-tomate	Folhado com Queijo e Tomate	mccafe	8	416	36	26	1.5	545	Leite+Soja+Ovo+Glúten
croissant-de-chocolate	Croissant de Chocolate	mccafe	6.9	407	42	23	3	333	Leite+Soja+Ovo+Glúten
mccolosso-sabor-cereja-com-laranja	McColosso sabor cereja com laranja	sobremesas	4	220	43	4	0.5	57.09
top-sundae-sabor-cereja-com-laranja	Top Sundae sabor cereja com laranja	sobremesas	12	530	84	16	1.3	214.28
sundae-sabor-cereja-com-laranja	Sundae sabor cereja com laranja	sobremesas	6	290	48	9	0.9	96.4	Leite+Soja+Amendoim
derpy-sundae	Derpy Sundae	sobremesas	3	227	42	5	0.1	101.88	Leite+Soja
casquinha-creme-crocante	Casquinha Creme Crocante	sobremesas	4	285	44	10	1	95.07	Leite+Soja+Glúten+Amendoim
mccolosso-creme-crocante	McColosso Creme Crocante	sobremesas	5	286	46	9	1	75.07
mcflurry-creme-crocante	McFlurry Creme Crocante	sobremesas	8	551	87	19	1	212.7	Leite+Soja+Glúten+Amendoim
mcshake-creme-crocante	McShake Creme Crocante	sobremesas	11	800	137	23	2	334.7	Leite+Soja+Glúten+Amendoim
mcshake-do-grimace	McShake do Grimace	sobremesas	7	459	84	11	0.2	192.9	Leite+Soja+Ovo
mcflurry-trufa-lingua-de-gato-duo-morango	McFlurry Trufa Língua de Gato DUO morango	sobremesas	9	654	93	28	0.3	178.82	Leite+Soja+Amendoim
mcflurry-trufa-lingua-de-gato-duo-chocolate	McFlurry Trufa Língua de Gato DUO chocolate	sobremesas	10	678	93	31	2	245.92	Leite+Soja+Amendoim
casquinha-baunilha	Casquinha Baunilha	sobremesas	3.2	170	31	3.9	0.37	62.41	Leite+Soja+Glúten
casquinha-chocolate	Casquinha Chocolate	sobremesas	3.4	165	29	3.9	0.4	62.41	Leite+Soja+Glúten
casquinha-mista	Casquinha Mista	sobremesas	3.3	167	30	3.9	0.4	62.41	Leite+Soja+Glúten
casquinha-recheada-chocolate	Casquinha recheada chocolate	sobremesas	3.5	226.5	42	5.2	1.2	156.27	Leite+Soja
casquinha-recheada-caramelo	Casquinha recheada caramelo	sobremesas	3.5	229.5	44.1	4.3	0.5	155.84
mccolosso-chocolate	McColosso Chocolate	sobremesas	4	245	47	5	0.5	123.07	Soja+Ovo
mccolosso-caramelo	McColosso Caramelo	sobremesas	4.4	269	52	5	0.58	102.84
mccolosso-recheado-chocolate	McColosso recheado chocolate	sobremesas	4.6	313.6	59.2	7	2.1	192.45	Leite+Soja+Ovo+Glúten
sundae-chocolate	Sundae chocolate	sobremesas	6	322	50	12	2.5	165.3	Leite+Amendoim
