# COLHEITA — Burger King Brasil, tabela nutricional oficial
#
# Fonte: https://bk-media.burgerking.com.br/TABELA_NUTRICIONAL_BK.pdf
# Colhida em 21/09/2026 por scripts/colher-bk.mjs, que baixa o PDF e lê a
# tabela. Para atualizar, rode o script de novo.
#
# ⚠️ OS VALORES SÃO DA PORÇÃO, E O PESO DELA É PUBLICADO. A coluna
# "Porção (unid.)" diz 325 g para o Whopper, e os números da linha são
# desse sanduíche inteiro — não de 100 g. É mais do que o McDonald's
# publica, e menos do que o Habib's: lá vêm as duas bases.
#
# ⚠️ A REDE NÃO LIGA ALÉRGENO A PRODUTO. O PDF traz a lista de alérgenos
# por INGREDIENTE — o queijo cheddar, o picles, a calda de morango — e
# não por sanduíche. Montar o alérgeno do produto exigiria saber a receita
# dele, que a tabela não dá. Por isso a coluna de alérgeno não existe
# aqui, e as restrições saem do nome, no gerador.
#
# colunas: slug, nome, rede, proteína g/porção, kcal/porção,
#          carboidrato g, gordura g, fibra g, sódio mg, peso da porção g
#
batata-suprema-individual	Batata Suprema – individual	bk	11	530	62	25	6	1258	205
batata-suprema-grande	Batata Suprema – grande	bk	23	1059	124	50	11	2515	410
batata-furiosa-individual	Batata Furiosa – individual	bk	11	521	66	23	6	1275	204
batata-furiosa-grande	Batata Furiosa – grande	bk	21	1042	133	45	11	2550	408
chicken-duplo-furioso	Chicken Duplo Furioso	bk	23	675	55	42	4	1288	241
chicken-duplo-bacon	Chicken Duplo Bacon	bk	25	675	49	43	4	1046	222
molho-barbecue-28-g	Molho Barbecue 28 g	bk	0	48	12	0	0	258	28
molho-barbecue-286-g	Molho Barbecue 286 g	bk	2	495	123	0	3	2637	286
bk-shake-proteico-chocolate	BK Shake Proteico Chocolate	bk	21	616	90	19	2	325	325
molho-furioso-28-g	Molho Furioso 28 g	bk	0	47	11	0	0	288	28
molho-furioso-286-g	Molho Furioso 286 g	bk	2	476	114	1	2	2937	286
bk-shake-proteico-crocante	BK Shake Proteico Crocante	bk	21	582	89	16	2	289	312
ketchup	Ketchup	bk	0	8	2	0	0	70	7
bk-shake-proteico-morango	BK Shake Proteico Morango	bk	20	577	92	14	2	232	339
mostarda	Mostarda	bk	0	3	0	0	0	68	5
bk-shake-proteico-doce-de-leite	BK Shake Proteico Doce de Leite	bk	24	677	104	18	1	361	350
maionese-bk	Maionese BK®	bk	0	126	0	14	0	118	20
casquinha-recheada-biscoff	Casquinha Recheada Biscoff®	bk	6	365	64	10	1	190	174
molho-baconese-20-g	Molho Baconese 20 g	bk	0	114	0	12	0	127	20
molho-baconese-224-g	Molho Baconese 224 g	bk	4	1279	4	138	1	1427	224
bk-mix-biscoff	BK® Mix Biscoff®	bk	6	487	80	16	1	299	217
maionese-verde	Maionese verde	bk	0	120	0	13	0	124	20
bk-shake-biscoff	BK® Shake Biscoff®	bk	8	699	116	22	2	412	342
molho-sabor-cheddar	Molho Sabor Cheddar	bk	14.5	505	27.5	37.5	0	2137.5	250
bk-baldao-biscoff	BK® Baldão Biscoff®	bk	14	1133	186	37	3	680	536
king-bacon	King Bacon	bk	30	821	29	64	1	1202	222
king-duplo-bacon	King Duplo Bacon	bk	52	1314	31	107	1	1755	353
king-fraldinha	King Fraldinha	bk	45	961	39	69	2	1318	307
molho-grogu	Molho Grogu	bk	1	603	3	65	0	556	26
bk-mix-grogu	BK® Mix Grogu	bk	5	420	61	17	1	196	185
whopper-grogu	Whopper Grogu	bk	32	735	46	46	5	1321	300
king-jr-toy-story	King Jr - Toy Story	bk	15	246	25	10	3	266	113
